"column_label","short_name","description","value_map"
"spocc10","Spouse's occupation","Spouse's occupation code (2010)","{""1"": ""MANAGEMENT, PROFESSIONAL, AND RELATED OCCUPATIONS"", ""2"": ""SERVICE OCCUPATIONS"", ""3"": ""SALES AND OFFICE OCCUPATIONS"", ""4"": ""NATURAL RESOURCES, CONSTRUCTION, AND MAINTENANCE OCCUPATIONS"", ""5"": ""PRODUCTION, TRANSPORTATION, AND MATERIAL MOVING OCCUPATIONS"", ""9998"": ""DON'T KNOW"", ""9999"": ""NO ANSWER"", ""IAP"": ""NOT APPLICABLE/UNCODEABLE"" }"
"spother","Other Protestant","Other Protestant denominations","{""0"": ""NOT APPLICABLE"", ""998"": ""DONT KNOW"", ""999"": ""NO ANSWER"" }"
"sprel","Spouse's religious pref","What is your spouse's religious preference? Is it Protestant, Catholic, Jewish, some other religion, or no religion?","{""1"": ""PROTESTANT"", ""2"": ""CATHOLIC"", ""3"": ""JEWISH"", ""4"": ""NONE"", ""5"": ""OTHER (SPECIFY)"", ""6"": ""BUDDHISM"", ""7"": ""HINDUISM"", ""8"": ""OTHER EASTERN"", ""9"": ""MOSLEM/ISLAM"", ""10"": ""ORTHODOX-CHRISTIAN"", ""11"": ""CHRISTIAN"", ""12"": ""NATIVE AMERICAN"", ""13"": ""INTER-NONDENOMINATIONAL"", ""0"": ""NOT APPLICABLE"", ""98"": ""DONT KNOW"", ""99"": ""NO ANSWER"" }"
"synmem","Synagogue membership","Do you or someone in your household belong to a synagogue, temple, minyan, or high holiday congregation?","{“1”: “YES”, “2”: “NO”, “IAP”: “NOT APPLICABLE”}"
"visart","Art museum visits","How many times did you visit an art museum during the last year?","NaN"
"vislib","Library visits","How many times did you visit a public library during the last year?","NaN"
"viszoo","Zoo visits","How many times did you visit a zoo or aquarium during the last year?","NaN"
"volchrty","Volunteer charity","During the past 12 months, how often have you done volunteer work for charity?","{""1"": ""MORE THAN ONCE A WEEK"", ""2"": ""ONCE A WEEK"", ""3"": ""ONCE A MONTH"", ""4"": ""AT LEAST 2 OR 3 TIMES IN THE PAST YEAR"", ""5"": ""ONCE IN THE PAST YEAR"", ""6"": ""NOT AT ALL IN THE PAST YEAR"", ""0"": ""NOT APPLICABLE"", ""8"": ""DONT KNOW"", ""9"": ""NO ANSWER"" }"
"vote08","Voted 2008","Did respondent vote in 2008 election?","{""1"": ""VOTED"", ""2"": ""DID NOT VOTE"", ""3"": ""INELIGIBLE"", ""8"": ""DON'T KNOW, CAN'T REMEMBER"", ""9"": ""REFUSED TO ANSWER"", ""IAP"": ""NOT APPLICABLE"" }"
"webmob","Home web mobile","Do you have access to the Internet or World Wide Web in your home through a Internet-enabled mobile device like a smart phone, PDA, or BlackBerry?","{""1"": ""YES"", ""2"": ""NO"", ""8"": ""DON'T KNOW"", ""9"": ""REFUSED"", ""IAP"": ""NOT APPLICABLE"" }"
"weekswrk","Weeks worked","How many weeks did you work either full-time or part-time not counting work around the house--include paid vacations and sick leave?","NaN"
"whoelse1","Children under 6","Were children under six present during the interview?","{""1"": ""YES"", ""2"": ""NO"", ""8"": ""DON'T KNOW"", ""9"": ""NO ANSWER"", ""IAP"": ""NOT APPLICABLE"" }"
"whoelse2","Older children","Were older children present during the interview?","{""1"": ""YES"", ""2"": ""NO"", ""8"": ""DON'T KNOW"", ""9"": ""NO ANSWER"", ""IAP"": ""NOT APPLICABLE"" }"
"wksubs","Supervisor's supervisor","Does supervisor have a supervisor on the job to whom he is directly responsible?","{""3"": ""YES"", ""4"": ""NO"", ""0"": ""NOT APPLICABLE"", ""8"": ""DONT KNOW"", ""9"": ""NO ANSWER"" }"
"wlthblks","Wealth blacks","Most black people fall into which of the following categories...","{""1"": ""RICH 1"", ""2"": ""RICH 2"", ""3"": ""RICH 3"", ""4"": ""NEITHER RICH NOR POOR"", ""5"": ""POOR 5"", ""6"": ""POOR 6"", ""7"": ""POOR 7"", ""0"": ""NOT APPLICABLE"", ""8"": ""DONT KNOW"", ""9"": ""NO ANSWER"" }"
"wordf","Word F accuracy","Correctness of response about word F","{""0"": ""INCORRECT"", ""1"": ""CORRECT"", ""-1"": ""NOT APPLICABLE"", ""9"": ""NO ANSWER"" }"
"wrkwayup","Blacks work way up","Irish, Italians, Jewish and many other minorities overcame prejudice and worked their way up. Blacks should do the same without special favors.","{""1"": ""AGREE STRONGLY"", ""2"": ""AGREE SOMEWHAT"", ""3"": ""NEITHER AGREE NOR DISAGREE"", ""4"": ""DISAGREE SOMEWHAT"", ""5"": ""DISAGREE STRONGLY"", ""0"": ""NOT APPLICABLE"", ""8"": ""DONT KNOW"", ""9"": ""NO ANSWER"" }"
"zodiac","Astrological sign","Respondent's astrological sign","{""1"": ""ARIES"", ""2"": ""TAURUS"", ""3"": ""GEMINI"", ""4"": ""CANCER"", ""5"": ""LEO"", ""6"": ""VIRGO"", ""7"": ""LIBRA"", ""8"": ""SCORPIO"", ""9"": ""SAGITTARIUS"", ""10"": ""CAPRICORN"", ""11"": ""AQUARIUS"", ""12"": ""PISCES"", ""0"": ""NOT APPLICABLE"", ""98"": ""DONT KNOW"", ""99"": ""NO ANSWER"" }"
