"column_label","short_name","description","value_map"
"partner_id","Partner ID","Identifier of Kiva partner involved in loan","{ ""1"": ""East Africa Beta"",""2"": ""The Shurush Initiative"",""3"": ""Regional Economic Development Center (REDC Bulgaria)"",""4"": ""Senegal Ecovillage Microfinance Fund (SEM)"",""5"": ""Prisma Microfinance"",""6"": ""Women`s Economic Empowerment Consort (WEEC)"",""7"": ""MIFEX"",""8"": ""Life in Africa Foundation (LiA)"",""9"": ""KREDIT Ltd."",""10"": ""Youth Self Employment Foundation (YOSEFO)"",""11"": ""Women's Initiative to Eradicate Poverty (WITEP)"",""13"": ""Adelante Foundation"",""15"": ""South Pacific Business Development (SPBD)"",""16"": ""Admic Nacional"",""17"": ""Microinvest"",""18"": ""Credituyo"",""19"": ""Kraban Support Foundation (KSF)"",""20"": ""Lift Above Poverty Organization (LAPO)"",""21"": ""Mikrofond EAD"",""22"": ""Microfund Togo"",""23"": ""Hluvuku-Adsema"",""24"": ""K-Met Savings and Credit Cooperative Ltd"",""25"": ""Ebony Foundation (Eb-F)"",""26"": ""HOPE Ukraine, a HOPE International institution"",""27"": ""People Microcredit Investment Bureau (PEMCI)"",""30"": ""Komak Credit Union"",""31"": ""Norwegian Microcredit LLC (Normicro)"",""32"": ""Supporting Enterprises for Economic Development (SEED Development Group)"",""33"": ""Rural Agency for Development (RAFODE)"",""34"": ""Ariana Financial Services Joint Stock Company (AFS), a partner of Mercy Corps"",""36"": ""Action Now: Kenya (ANK)"",""37"": ""Share an Opportunity Microfinance Ltd. (SAO MFI)"",""40"": ""Grounded and Holistic Approach for People's Empowerment (GHAPE)"",""41"": ""Mekong Plus"",""42"": ""Credit Mongol"",""43"": ""Family Business Partners/Ganesha (MBK)"",""44"": ""Esperanza International Dominican Republic, a partner of HOPE International"",""45"": ""HELP Africa"",""46"": ""HOPE DRC, a HOPE International institution"",""47"": ""MLF Microinvest, a partner of ACDI/VOCA"",""48"": ""IMPRO"",""49"": ""Urban Ministry"",""50"": ""Iraqi Al-Aman Center/Kirkuk"",""51"": ""Alternativa Solidaria Chiapas (AlSol)"",""52"": ""ACODE Finance"",""53"": ""Afrique Emergence & Investissements (AE&I)"",""54"": ""Women's Trust, Inc."",""55"": ""Friendship Bridge"",""56"": ""Aqroinvest Credit Union"",""57"": ""Salone Microfinance Trust (SMT), a partner of ChildFund International"",""58"": ""Fundación Paraguaya"",""59"": ""Fundación Pro Mujer"",""60"": ""Asasah"",""61"": ""MAXIMA Mikroheranhvatho"",""62"": ""Patan Business and Professional Women"",""63"": ""MLO Humo and Partners"",""64"": ""Fundo De Desenvolvimento Mulher (FDM), a partner of Save the Children"",""65"": ""BRAC Uganda"",""66"": ""Fundación San Miguel Arcángel, Inc. (FSMA)"",""67"": ""TYM Fund"",""70"": ""FINCA Peru"",""71"": ""Microfinanzas Prisma"",""72"": ""Manuela Ramos / CrediMUJER"",""73"": ""Fundación AgroCapital, a partner of ACDI/VOCA"",""74"": ""CEPRODEL"",""76"": ""ADEPHCA"",""77"": ""Al Majmoua Lebanese Association for Development"",""78"": ""Soro Yiriwaso, a partner of Save the Children"",""79"": ""Yamida (Yayasan Mitra Dhuafa)"",""80"": ""Palestine for Credit & Development (FATEN)"",""81"": ""Apoyo Integral"",""82"": ""Koperasi  Mitra Usaha Kecil (MUK)"",""84"": ""Pearl Microfinance Limited"",""85"": ""SEDA"",""87"": ""Tujijenge Tanzania Ltd"",""88"": ""Sinapi Aba Trust (SAT)"",""90"": ""Sero Lease and Finance Ltd. (SELFINA)"",""91"": ""Christian Rural Aid Network (CRAN)"",""92"": ""Opportunity International- Wedco Ltd."",""93"": ""EDAPROSPO"",""96"": ""León 2000 IMF"",""97"": ""FAPE"",""98"": ""AFODENIC"",""99"": ""FECECAV"",""100"": ""CSC MDO \""IMON International\"""",""101"": ""Zene za Zene, a partner of Women for Women International"",""102"": ""BRAC Tanzania"",""104"": ""Alidé"",""105"": ""CAURIE Microfinance, a partner of Catholic Relief Services"",""106"": ""Hattha Kaksekar Limited (HKL), a partner of Save the Children"",""107"": ""BRAC South Sudan"",""108"": ""UIMCEC, a partner of ChildFund International"",""109"": ""AMK (Angkor Microfinance Kampuchea)"",""110"": ""Emprender"",""111"": ""Women and Associations for Gain both Economic and Social (WAGES)"",""112"": ""Micro Credit for Development and Transformation SACCO (MCDT SACCO)"",""113"": ""Asociación ASDIR"",""115"": ""Vitas. s.a.l."",""116"": ""XacBank"",""117"": ""Vision Finance Company s.a. (VFC), a partner of World Vision International"",""118"": ""Prisma Honduras, S.A."",""119"": ""Asociación Arariwa"",""120"": ""ADIM (Asociación Alternativa Para el Desarrollo Integral de las Mujeres)"",""121"": ""Thanh Hoa Fund for Poor Women (FPW)"",""122"": ""Ryada"",""123"": ""Alalay sa Kaunlaran, Inc. (ASKI)"",""124"": ""Ahon sa Hirap, Inc. (ASHI)"",""125"": ""Community Economic Ventures, Inc. (CEVI), a partner of VisionFund International"",""126"": ""Paglaum Multi-Purpose Cooperative (PMPC)"",""127"": ""EDESA"",""128"": ""Hagdan Sa Pag-uswag Foundation, Inc. (HSPFI)"",""129"": ""Tanaoba Lais Manekat Foundation (TLM)"",""130"": ""VisionFund Mexico"",""131"": ""Accion East"",""132"": ""Opportunity Fund"",""133"": ""VisionFund Kenya"",""135"": ""MCC Mol Bulak Finance LLC"",""136"": ""Gata Daku Multi-purpose Cooperative (GDMPC)"",""137"": ""Fundación ESPOIR"",""138"": ""SMEP Microfinance Bank"",""139"": ""Caja Rural Señor de Luren"",""140"": ""CIDRE"",""141"": ""Local Enterprise Assistance Program (LEAP), a partner of World Hope International and World Relief"",""142"": ""Faulu Kenya"",""143"": ""Edpyme Alternativa"",""144"": ""Center for Community Transformation Credit Cooperative, a partner of HOPE International"",""145"": ""Negros Women for Tomorrow Foundation, Inc. (NWTF)"",""146"": ""Nor Horizon Universal Credit Organization Limited Liability Company"",""147"": ""Banco D-MIRO S.A."",""148"": ""Association for Rural Development (ARD)"",""149"": ""Al-Thiqa Organization"",""150"": ""FUDECOSUR"",""151"": ""Fundacion Mujer"",""152"": ""AREGAK Universal Credit Organization"",""153"": ""LAPO Sierra Leone (LAPOSL)"",""154"": ""Fundación Mario Santo Domingo (FMSD)"",""155"": ""BRAC Sri Lanka"",""156"": ""Juhudi Kilimo"",""157"": ""Fondo Esperanza"",""158"": ""CrediComun"",""159"": ""Cooperativa San Jose"",""160"": ""Hekima, a partner of World Relief"",""161"": ""Urwego Opportunity Bank, a partner of Opportunity International and HOPE International"",""162"": ""Turame Community Finance, a partner of World Relief and HOPE International"",""163"": ""HOFOKAM Ltd., a partner of Catholic Relief Services"",""164"": ""Yehu Microfinance Trust"",""165"": ""HOPE Congo S.A., a HOPE International institution"",""166"": ""CHF International Access to Credit Services Initiatives (ACSI) Iraq"",""167"": ""PADECOMSM"",""168"": ""FAMA OPDF"",""169"": ""SEF International"",""170"": ""Amasezerano Community Banking S.A."",""171"": ""Bai Tushum Bank CJSC"",""172"": ""Capital Aid Fund for Employment of the Poor (CEP)"",""173"": ""Accion Texas Inc."",""174"": ""Tamweelcom"",""175"": ""Koret Israel Economic Development Funds (KIEDF)"",""176"": ""MiCredito"",""177"": ""Interactuar"",""178"": ""Womens Development Businesses (WDB)"",""179"": ""Finadev Benin"",""180"": ""Transcapital"",""181"": ""LLC Micro Finance Organization Credo"",""182"": ""BRAC Liberia Microfinance Company Limited"",""183"": ""BRAC Sierra Leone Microfinance Company Limited"",""184"": ""MicroKing Finance"",""185"": ""National Microfinance Bank"",""186"": ""Grameen America"",""187"": ""Micro Start/AFD"",""188"": ""FODEMI, a partner of World Vision International"",""189"": ""VisionFund Indonesia"",""190"": ""Fundacion Alternativa"",""198"": ""Maya"",""199"": ""CrediCampo"",""200"": ""ASI Federal Credit Union"",""201"": ""Organizacion de Desarrollo Empresarial Femenino (ODEF)"",""202"": ""One Acre Fund"",""203"": ""Milango Financial Services"",""204"": ""VisionFund Cambodia"",""205"": ""Al-Amal Microfinance Bank"",""206"": ""Finance South Sudan Limited"",""207"": ""VisionFund AzerCredit LLC"",""208"": ""Mbinga Community Bank"",""210"": ""Zoona"",""211"": ""Maharishi Education for Invincibility Trust"",""212"": ""Barefoot Power"",""213"": ""BrazAfric"",""214"": ""Fenix International"",""215"": ""MDO Arvand, LLC"",""216"": ""Relief International Microfinance Iraq"",""217"": ""ACEP Cameroun"",""218"": ""Strathmore University"",""219"": ""PT Rekan Usaha Mikro Anda (Ruma)"",""220"": ""ASPIRE"",""222"": ""UGAFODE Microfinance Limited"",""224"": ""Union Regional de Huatusco"",""225"": ""Novica"",""226"": ""Sistema Biobolsa"",""227"": ""Agro Capital Management LLC"",""228"": ""Valley Economic Development Center, Inc. (VEDC)"",""229"": ""Entrepreneurs du Monde"",""230"": ""Nirdhan Utthan Bank Limited (NUBL)"",""231"": ""ID Ghana"",""237"": ""Colfuturo"",""238"": ""WSDS-Initiate"",""239"": ""VisionFund Albania"",""240"": ""KosInvest"",""241"": ""People's Forum"",""242"": ""Mahashakti Foundation"",""243"": ""Tuba Rai Metin"",""244"": ""CampoAlto"",""245"": ""Kashf Foundation"",""246"": ""ADICLA"",""247"": ""BRAC Pakistan"",""248"": ""Frogtek"",""249"": ""Accion San Diego"",""253"": ""Yayasan Sosial Bina Sejahtera"",""254"": ""African Leadership Academy"",""255"": ""Solar Sister"",""257"": ""Visionary Empowerment Programme"",""258"": ""Sanergy"",""259"": ""Grameen Foundation AppLab"",""260"": ""EarthSpark International"",""261"": ""AgDevCo"",""262"": ""Junior Achievement Kenya"",""263"": ""Nazava Water Filters"",""264"": ""Vittana"",""265"": ""Latino Economic Development Center"",""266"": ""Fresno Community Development Financial Institution"",""267"": ""Working Solutions"",""268"": ""Pacific Asian Consortium in Employment"",""269"": ""COMIXMUL"",""270"": ""FUNDECOCA"",""271"": ""Nuru Energy"",""272"": ""Motorbank Kenya"",""273"": ""Maya Mountain Cacao"",""274"": ""Yellow Leaf Hammocks"",""275"": ""IluMexico"",""276"": ""One Degree Solar"",""277"": ""Honey Care Africa"",""278"": ""Plasticos Foundation"",""279"": ""TECNOSOL"",""280"": ""Angaza Design"",""281"": ""Rent-to-Own"",""282"": ""KOMAZA"",""285"": ""Jerusalem Interest-Free Microfinance Fund Limited"",""286"": ""Paradigm Project"",""287"": ""Youth Initiative for Community Empowerment"",""288"": ""Babban Gona Farmers Organization"",""289"": ""Arab Center for Agricultural Development (ACAD)"",""290"": ""UpEnergy"",""291"": ""Advans Côte d'Ivoire"",""292"": ""Fundacion Namaste Guatemaya"",""293"": ""Lumni Chile"",""294"": ""Kubo.financiero"",""295"": ""PAC"",""296"": ""Assilassimé Solidarité"",""298"": ""FUNDAPEC"",""299"": ""Practical Empowerment & Networking Youth Association (P.E.N.Y.A.)"",""300"": ""Stichting SEVA Microfinance Institute"",""301"": ""Ecoblock International"",""302"": ""myAgro"",""304"": ""Kopernik"",""305"": ""Camfed Zimbabwe"",""306"": ""Planting Empowerment"",""307"": ""Village Infrastructure Angels"",""309"": ""African Solar Rise"",""310"": ""MEC Delta"",""311"": ""iDE - Cambodia"",""312"": ""Abaarso School of Science and Technology"",""313"": ""Investisseurs & Partenaires"",""315"": ""Yunus Social Business (YSB)"",""316"": ""Intersect Fund"",""317"": ""Fundación CREHO"",""319"": ""African Entrepreneur Collective (AEC)"",""321"": ""Izdiharona for Economic Development"",""322"": ""iSmart Kenya"",""323"": ""TAHUDE Foundation"",""324"": ""Evidence Action"",""325"": ""Kaaba Microfinance Institution"",""326"": ""American University of Central Asia"",""327"": ""FUNDA-PRO"",""328"": ""Pana Pana"",""329"": ""Impact Carbon"",""330"": ""Federación Campesina del Cauca FCC"",""331"": ""East Meets West - Vietnam"",""332"": ""NOTS Lampe Solaire"",""333"": ""CONFRAS"",""334"": ""Belghoria Janakalyan Samity"",""335"": ""StoveTeam International"",""336"": ""Nuru International"",""337"": ""Banco Pérola"",""339"": ""Habitat for Humanity Mexico"",""340"": ""PowerGen Renewable Energy"",""341"": ""EcoZoom"",""342"": ""Entrepreneurs du Monde - Anh Chi Em"",""343"": ""WANA Solutions"",""344"": ""Uberis Capital"",""345"": ""MicroEnergy Credits"",""346"": ""Grameen Ghana"",""347"": ""Micrograam"",""348"": ""Etkie"",""350"": ""Fledge"",""351"": ""BagoSphere Ph Inc"",""353"": ""Indigenous Designs"",""354"": ""ayzh"",""355"": ""Angkor Community Fund"",""357"": ""Alivio Capital"",""358"": ""Instituto Peruano de Fomento Educativo"",""360"": ""Ensibuuko"",""363"": ""M7 Microfinance Institution Limited"",""364"": ""Sjedi Green Energy"",""365"": ""Nke-Anyi Farmers Multipurpose Cooperative Society Limited (Nke-Anyi FMCS)"",""367"": ""Thrive Microfinance ltd"",""368"": ""El Buen Socio"",""369"": ""Asociación Chajulense de Mujeres - Unidas por la Vida"",""370"": ""ACCIONA Microenergía México"",""372"": ""Wedu"",""377"": ""Emergency Relief & Development Overseas (ERDO)"",""379"": ""Camfed Tanzania"",""380"": ""Fonkoze - Zafèn"",""381"": ""MicroLoan Foundation (MLF) Malawi"",""382"": ""Microfy"",""383"": ""Youth Business St. Vincent and the Grenadines"",""384"": ""Kingsbridge Microfinance Ltd"",""385"": ""Living Goods"",""386"": ""Kenya ECLOF"",""388"": ""Hand in Hand Eastern Africa"",""389"": ""SEED Center Philippines Inc. Social Enhancement for Entrepreneurial Development"",""390"": ""Soluz Honduras, S.A de C.V."",""391"": ""Small Scale Livestock Livelihoods Program"",""392"": ""ASA Initiative FNGO"",""393"": ""TerraClear Development"",""394"": ""Quang Binh Women Development Fund"",""395"": ""Solar and Energy Loan Fund"",""396"": ""African Connections,Ghana Ltd."",""398"": ""Agence Communautaire pour le Financement de la Micro Entreprise (ACFIME)"",""401"": ""Konfío"",""403"": ""SunFarmer"",""404"": ""Ibdaa Microfinance SAL"",""405"": ""Housing Finance Foundation"",""406"": ""KPP-UMKM Syariah"",""407"": ""Kamworks"",""413"": ""MFO Priminvestnord LLC"",""415"": ""Socios en Salud Perú (Partners in Health)"",""416"": ""Proximity Designs"",""417"": ""Emerging Cooking Solutions Zambia ltd"",""423"": ""Yayasan Rumah Energi"" }"
"partner_loans_posted","Partner loans posted","Number of loans posted by partner","NaN"
"partner_rating","Partner rating","Average rating of partner","NaN"
"partner_start_date","Partner start date","Date partner became a Kiva partner","NaN"
"partner_status","Partner status","Partner status","NaN"
"planned_expiration_date","Planned expiration date","Date loan will expire","NaN"
"posted_date","Posted date","Date loan application was posted","NaN"
"sector","Sector","Broad sector for which loan will be used","NaN"
"total_amount_raised","Total amount","Total amount of funding raised","NaN"
"video","Video","Whether loan profile includes a video","NaN"
